TIPO,FORZA,FORZA_MEDIA,DESTREZZA,DESTREZZA_MEDIA,COSTITUZIONE,COSTITUZIONE_MEDIA,INTELLIGENZA,INTELLIGENZA_MEDIA,SAGGEZZA,SAGGEZZA_MEDIA,CARISMA,CARISMA_MEDIA,FORTUNA,FORTUNA_MEDIA,CRITICO_MEDIA,CARICO_MASSIMO_MEDIA,PRECISIONE_MEDIA,VELOCITA_MEDIA,FURTIVITA_MEDIA,PARATA_MEDIA,RESISTENZA_MAGICA_MEDIA,PERCEZIONE_MEDIA,SOGGEZIONE_MEDIA,FURIA_MEDIA,CORAGGIO_MEDIA,VALORE_MEDIA
ARPIA,10.0,11.14,15.0,8.14,7.0,6.14,8.0,6.15,5.0,6.14,1.0,6.14,4.0,6.15,9.28,54.42,3.00,3.00,1.14,2.00,3.00,3.00,2.00,1.00,1.00,1.00
CENTAURO,25.0,10.44,22.0,7.43,25.0,7.43,12.0,5.43,18.0,6.43,4.0,6.43,10.0,6.42,5.41,54.31,2.15,3.05,1.00,3.00,2.00,2.06,2.42,3.42,2.06,3.00
CHIMERA,20.0,11.43,18.0,7.44,18.0,8.43,6.0,5.43,7.0,6.42,0.0,5.44,6.0,5.42,7.42,57.28,2.00,3.00,2.15,2.01,3.00,3.00,3.00,1.00,2.00,1.00
CHIMERA_DRAGO,50.0,11.42,35.0,6.42,50.0,8.44,28.0,6.43,25.0,6.42,0.0,5.43,18.0,5.43,5.01,57.28,2.00,2.00,1.00,3.00,3.00,3.00,3.01,2.00,2.38,1.01
DRAGO,80.0,80.00,50.0,50.00,75.0,75.00,80.0,80.00,70.0,70.00,8.0,8.00,35.0,35.00,18.00,159.00,8.00,7.00,3.00,11.00,12.00,12.00,7.00,9.00,6.00,9.00
EREMITA,25.0,7.71,20.0,5.72,25.0,6.72,25.0,7.71,55.0,8.71,1.0,6.71,12.0,6.72,5.03,48.14,2.00,1.21,2.02,2.00,3.00,3.00,2.00,2.01,2.00,2.08
FANTASMA,10.0,6.71,20.0,7.70,12.0,6.72,15.0,6.72,18.0,6.70,0.0,8.72,10.0,6.72,3.09,0.00,2.00,2.53,3.00,0.00,2.00,2.00,2.81,0.63,3.00,0.81
FOLLETTO,5.0,9.15,8.0,9.14,5.0,5.15,3.0,6.15,4.0,6.13,1.0,6.14,2.0,8.14,9.28,49.45,3.00,4.00,4.00,0.00,2.00,2.13,1.00,1.00,1.00,1.00
GARGOYLE,28.0,12.14,20.0,6.14,28.0,9.14,18.0,5.15,12.0,6.14,0.0,6.14,10.0,5.14,5.00,59.43,2.00,1.00,0.14,4.00,2.00,2.00,3.00,3.00,3.00,3.00
GIGANTE,40.0,12.42,18.0,5.43,35.0,9.43,15.0,5.43,18.0,5.43,3.0,6.43,10.0,5.43,3.38,60.22,1.00,1.00,0.00,4.00,1.07,1.06,3.38,3.00,3.00,2.06
GOBLIN,12.0,10.29,12.0,8.28,12.0,6.28,4.0,6.29,5.0,5.28,0.0,5.29,5.0,8.29,9.06,52.87,2.02,3.00,3.02,2.00,2.00,2.00,1.00,0.00,0.02,0.00
HOBGOBLIN,20.0,10.58,18.0,6.59,25.0,7.58,12.0,6.56,10.0,6.56,0.0,6.57,10.0,5.56,7.13,54.73,2.54,2.00,2.00,4.00,2.04,2.10,2.53,3.26,3.00,3.00
IDRA,60.0,60.00,30.0,30.00,60.0,60.00,25.0,25.00,20.0,20.00,0.0,0.00,15.0,15.00,8.00,139.00,4.00,4.00,2.00,7.00,6.00,6.00,3.00,3.00,2.00,2.00
LICH,25.0,25.00,35.0,35.00,38.0,38.00,70.0,70.00,55.0,55.00,0.0,0.00,20.0,20.00,15.00,96.00,7.00,5.00,4.00,3.00,9.00,8.00,2.00,0.00,2.00,1.00
MINOTAURO,35.0,13.28,22.0,6.29,30.0,8.28,10.0,5.29,12.0,5.29,0.0,6.29,10.0,5.28,4.06,60.59,1.00,1.27,1.00,3.28,1.02,1.02,3.00,1.28,3.00,1.00
MINOTAURO_GIGANTE,70.0,70.00,30.0,30.00,65.0,65.00,20.0,20.00,20.0,20.00,0.0,0.00,15.0,15.00,7.00,148.00,3.00,2.00,1.00,10.00,2.00,2.00,3.00,3.00,2.00,2.00
OMBRA_NERA,35.0,9.43,35.0,8.43,35.0,6.43,30.0,6.43,30.0,6.42,0.0,7.43,20.0,5.44,10.15,0.00,3.00,3.00,4.00,1.00,2.63,3.00,3.37,0.00,3.06,0.00
SCHELETRO,18.0,10.43,12.0,7.43,18.0,8.44,6.0,5.42,4.0,5.43,0.0,5.43,6.0,7.42,8.01,55.30,2.00,2.00,2.00,3.00,1.00,1.00,2.00,0.00,3.06,0.00
SPETTRO,8.0,9.28,25.0,8.30,10.0,6.29,18.0,6.28,35.0,6.28,0.0,8.28,12.0,5.29,3.02,0.00,2.00,3.00,3.07,0.00,2.00,2.06,3.02,0.00,3.00,0.00
SPIRITO,5.0,6.56,22.0,8.57,8.0,6.58,15.0,7.56,40.0,7.58,0.0,7.57,10.0,5.57,3.13,0.00,2.00,3.00,3.00,0.00,3.00,3.00,2.00,2.00,2.47,2.00
STREGA,25.0,25.00,30.0,30.00,40.0,40.00,65.0,65.00,55.0,55.00,0.0,0.00,20.0,20.00,11.00,97.00,5.00,4.00,5.00,3.00,10.00,9.00,1.00,3.00,1.00,5.00
TITANO,48.0,12.14,20.0,6.15,50.0,8.14,22.0,6.14,25.0,6.14,3.0,6.15,15.0,5.14,2.00,58.42,1.00,0.15,0.00,5.00,2.00,2.00,4.00,4.00,4.00,3.00
TROLL,38.0,12.29,15.0,6.28,38.0,9.29,10.0,5.29,10.0,5.28,0.0,5.29,8.0,6.30,4.28,59.84,1.00,1.00,1.00,3.02,1.00,1.00,2.26,2.00,2.00,1.00
